Date	AAPL	ABBV	ALL	BA	BIIB	COP	DE	DVN	EL	EQT	GOOGL	HII	INTC	KDP	MSFT	NEE	NFLX	PAYC	PFE	QRVO	ROP	SMCI	TSLA	UAL
2024-10-01 00:00:00+00:00	0	25	0	0	35	0	3	0	183	129	121	27	47	35	0	0	97	222	0	0	93	0	0	0
2024-10-02 00:00:00+00:00	0	43	0	0	16	0	26	0	176	123	149	76	78	35	0	0	94	243	0	0	51	0	0	0
2024-10-03 00:00:00+00:00	2	86	0	0	14	0	59	0	164	92	148	82	96	9	0	0	128	270	0	0	71	0	25	0
2024-10-04 00:00:00+00:00	0	105	0	0	15	0	45	0	115	58	193	124	102	0	0	0	149	242	0	0	50	0	34	9
2024-10-07 00:00:00+00:00	0	140	0	0	0	0	29	0	83	16	153	154	140	0	0	0	157	239	0	0	9	0	15	0
2024-10-08 00:00:00+00:00	2	156	0	10	0	0	29	0	126	2	120	120	145	0	0	0	178	226	0	0	0	0	0	0
2024-10-09 00:00:00+00:00	33	107	0	0	0	0	14	0	85	0	85	80	178	0	0	0	198	257	0	0	0	0	0	0
2024-10-10 00:00:00+00:00	64	98	0	2	0	0	0	0	118	0	107	35	150	0	0	0	162	234	0	0	0	0	0	0
2024-10-11 00:00:00+00:00	68	109	0	0	0	0	0	0	102	11	74	66	170	30	0	0	118	259	0	0	20	0	0	0
2024-10-14 00:00:00+00:00	67	61	0	14	0	0	0	0	104	0	55	55	207	36	0	0	84	270	0	0	5	0	0	0
2024-10-15 00:00:00+00:00	109	12	0	22	0	0	0	0	143	9	48	96	207	52	0	0	40	285	0	0	41	0	0	0
2024-10-16 00:00:00+00:00	113	8	0	0	0	0	0	0	177	0	64	96	171	51	0	0	81	280	0	0	16	0	0	0
2024-10-17 00:00:00+00:00	96	10	0	6	0	0	0	0	151	0	45	89	196	63	0	0	60	281	0	0	0	0	0	0
2024-10-18 00:00:00+00:00	114	57	8	45	0	0	0	0	157	0	47	76	223	76	0	0	79	264	0	0	1	0	0	0
2024-10-21 00:00:00+00:00	77	73	52	62	0	0	0	0	204	15	47	101	195	125	0	0	109	287	0	0	13	0	0	0
2024-10-22 00:00:00+00:00	96	113	38	55	0	0	0	0	176	56	10	92	177	93	0	0	96	257	0	0	24	0	0	0
2024-10-23 00:00:00+00:00	108	111	38	17	0	0	0	0	210	47	7	116	147	132	0	0	132	263	0	0	0	0	0	0
2024-10-24 00:00:00+00:00	138	133	10	0	0	0	0	0	168	61	33	123	195	179	0	0	96	236	0	0	0	0	0	0
2024-10-25 00:00:00+00:00	110	116	0	24	10	0	0	0	137	109	68	170	183	217	0	0	54	256	0	0	26	0	0	0
2024-10-28 00:00:00+00:00	68	116	0	63	0	0	0	0	155	78	78	214	196	174	0	0	69	232	0	0	27	0	0	0
2024-10-29 00:00:00+00:00	43	93	0	70	7	0	0	0	201	79	61	185	216	127	0	0	28	251	0	0	65	0	0	0
2024-10-30 00:00:00+00:00	41	136	0	91	19	0	0	0	154	66	56	152	242	120	0	0	0	271	0	0	65	0	0	0
